date,team,player,position,injury
3/3/15,Los AngelesClippers,Jamal Crawford,G/F,Sore calf
3/3/15,MemphisGrizzlies,Zach Randolph,F/C,Illness
3/2/15,New YorkKnicks,Jose Calderon,PG,Sore left Achilles
3/2/15,MinnesotaTimberwolves,Kevin Martin,G/F,Illness
3/2/15,CharlotteHornets,Matt Barnes,SF,Strained right hamstring
3/2/15,MinnesotaTimberwolves,Nikola Pekovic,C,Sore right ankle
3/2/15,MilwaukeeBucks,O.J. Mayo,G,Right hamstring soreness
3/2/15,DallasMavericks,Tyson Chandler,C,Left hip contusion
3/1/15,OrlandoMagic,Aaron Gordon,PF,Sore ankle
3/1/15,ChicagoBulls,Jimmy Butler,G/F,Left elbow sprain
3/1/15,HoustonRockets,Kostas Papanikolaou,F,Sore ankle
4/28/15,HoustonRockets,K.J. McDaniels,SF,Nondisplaced right elbow fracture
4/26/15,ClevelandCavaliers,Kevin Love,F/C,Dislocated shoulder
4/26/15,MemphisGrizzlies,Mike Conley,PG,Facial injury
4/22/15,PortlandTrail Blazers,Chris Kaman,F/C,Sore ankle
4/22/15,DallasMavericks,Rajon Rondo,PG,Sore back
4/21/15,DallasMavericks,Chandler Parsons,F,Sore knee
4/21/15,ChicagoBulls,Nikola Mirotic,F,Strained quadriceps
4/17/15,Golden StateWarriors,David Lee,F/C,Strained lower back
4/15/15,MilwaukeeBucks,Jerryd Bayless,G,Sore neck
4/13/15,UtahJazz,Derrick Favors,F/C,Sore back
4/13/15,UtahJazz,Gordon Hayward,G/F,Sore Achilles
4/13/15,ChicagoBulls,Joakim Noah,F/C,Left knee tendinitis
4/13/15,New OrleansPelicans,Jrue Holiday,PG,"Stress reaction, right leg"
4/13/15,ChicagoBulls,Kirk Hinrich,G,Sore left foot
4/12/15,PhoenixSuns,Brandan Wright,F/C,Sore foot
4/12/15,PhoenixSuns,Marcus Thornton,SG,Sore toe
4/12/15,PhoenixSuns,Reggie Bullock,G/F,Concussion
4/12/15,SacramentoKings,Reggie Evans,F/C,Sore thumb
4/11/15,Philadelphia76ers,Ish Smith,PG,Left groin strain
4/11/15,PortlandTrail Blazers,LaMarcus Aldridge,F/C,Left foot sprain
4/10/15,PortlandTrail Blazers,Arron Afflalo,G/F,Sore shoulder
4/10/15,MemphisGrizzlies,Mike Conley,PG,Sprained right foot
4/10/15,UtahJazz,Trey Burke,PG,Sore lower back
4/9/15,MiamiHeat,Henry Walker,G/F,Sore elbow
4/9/15,ChicagoBulls,Jimmy Butler,G/F,Strained calf
4/9/15,Golden StateWarriors,Leandro Barbosa,G,Achilles
4/8/15,MinnesotaTimberwolves,Anthony Bennett,F,Sprained right ankle
4/8/15,DallasMavericks,Chandler Parsons,F,Right knee swelling
4/8/15,IndianaPacers,Chris Copeland,F,Abdomen surgery
4/8/15,DenverNuggets,Darrell Arthur,F/C,Right soleus strain
4/8/15,DenverNuggets,Gary Harris,SG,Illness
4/8/15,DenverNuggets,Jameer Nelson,PG,Strained right hip
4/8/15,Los AngelesLakers,Jeremy Lin,G,Knee
4/8/15,Los AngelesClippers,Lance Stephenson,G/F,Right toe sprain
4/8/15,San AntonioSpurs,Marco Belinelli,G/F,Groin soreness
4/8/15,MiamiHeat,Mario Chalmers,G,Illness
4/8/15,WashingtonWizards,Nene Hilario,F/C,Sore shoulder
4/8/15,Philadelphia76ers,Nerlens Noel,F/C,Ankle
4/8/15,AtlantaHawks,Pero Antic,C,Neck
4/8/15,SacramentoKings,Rudy Gay,F,Concussion
4/8/15,AtlantaHawks,Thabo Sefolosha,G/F,Broken ankle
4/8/15,OrlandoMagic,Willie Green,SG,Hyperextended right knee
4/7/15,PhoenixSuns,Brandon Knight,G,Sore heel
4/7/15,SacramentoKings,DeMarcus Cousins,F/C,Sore right foot
4/7/15,MinnesotaTimberwolves,Gorgui Dieng,F/C,Concussion
4/7/15,AtlantaHawks,Paul Millsap,F/C,Shoulder sprain
4/6/15,PortlandTrail Blazers,Chris Kaman,F/C,Right thumb sprain
4/6/15,PortlandTrail Blazers,LaMarcus Aldridge,F/C,Left thumb sprain
4/6/15,PortlandTrail Blazers,Nicolas Batum,G/F,Low back sprain
4/6/15,DetroitPistons,Spencer Dinwiddie,PG,Sore ankle
4/5/15,IndianaPacers,C.J. Watson,PG,Sore elbow
4/5/15,Philadelphia76ers,Luc Richard Mbah a Moute,F,Left shoulder strain
4/4/15,CharlotteHornets,Al Jefferson,F/C,Sore right knee
4/4/15,BrooklynNets,Alan Anderson,G/F,Sprained left ankle
4/4/15,TorontoRaptors,Amir Johnson,F/C,Sore ankle
4/4/15,Philadelphia76ers,Isaiah Canaan,PG,Sore ankle
4/4/15,Philadelphia76ers,Jason Richardson,G/F,Sore knee
4/4/15,Philadelphia76ers,Thomas Robinson,PF,Sore ankle
4/3/15,PortlandTrail Blazers,Dorell Wright,G/F,Fractured Left Hand
4/3/15,SacramentoKings,Rudy Gay,F,Concussion
4/3/15,San AntonioSpurs,Tiago Splitter,C,Sore calf
4/3/15,MemphisGrizzlies,Tony Allen,G/F,Left Hamstring Sprain
4/2/15,PhoenixSuns,Alex Len,C,Broken nose
4/2/15,ChicagoBulls,Kirk Hinrich,G,Bruised left knee
4/2/15,Los AngelesLakers,Wayne Ellington,SG,Separated right shoulder
4/1/15,MiamiHeat,Shabazz Napier,PG,Sports hernia surgery
5/23/15,AtlantaHawks,Kyle Korver,G/F,Sore ankle
5/22/15,ClevelandCavaliers,Kyrie Irving,G,Left knee tendonitis
5/20/15,AtlantaHawks,DeMarre Carroll,F,Knee strain
5/20/15,HoustonRockets,Dwight Howard,F/C,Left knee sprain
5/19/15,Golden StateWarriors,Ognjen Kuzmic,C,Sprained left ankle
5/11/15,Golden StateWarriors,Marreese Speights,F/C,Strained calf
5/9/15,ChicagoBulls,Pau Gasol,F/C,Strained left hamstring
5/5/15,WashingtonWizards,John Wall,PG,Sore wrist
5/4/15,Los AngelesClippers,Chris Paul,PG,Sore hamstring
5/1/15,Los AngelesClippers,Glen Davis,F/C,Sprained left ankle
6/5/15,ClevelandCavaliers,Kyrie Irving,G,Fractured left knee cap
8/15/14,Golden StateWarriors,Shaun Livingston,G,Toe surgery
8/1/14,IndianaPacers,Paul George,G/F,Fractured leg
9/28/14,MilwaukeeBucks,Michael Carter-Williams,PG,Sore shoulder
9/27/14,New OrleansPelicans,Tyreke Evans,G,Sore hamstring
9/26/14,DallasMavericks,Rajon Rondo,PG,Broken hand
10/31/14,ChicagoBulls,Derrick Rose,PG,Left Ankle Sprain
10/30/14,OrlandoMagic,Kyle O'Quinn,F/C,Sprained left ankle
10/30/14,Oklahoma CityThunder,Russell Westbrook,PG,Fractured right hand
10/29/14,Golden StateWarriors,Brandon Rush,SG,Sore back
10/29/14,DetroitPistons,Cartier Martin,G/F,Plantar fasciitis in right foot
10/29/14,HoustonRockets,Clint Capela,PF,Sore groin
10/29/14,PhoenixSuns,Danny Granger,SF,Sore hamstring
10/29/14,WashingtonWizards,Glen Rice Jr.,G/F,Sore ankle
10/29/14,TorontoRaptors,Greg Stiemsma,C,Sore ankle
10/29/14,BostonCeltics,James Young,SG,Sore hamstring
10/29/14,Philadelphia76ers,Jerami Grant,F,Right ankle sprain
10/29/14,ChicagoBulls,Jimmy Butler,G/F,Sprained left thumb
10/29/14,New YorkKnicks,Jose Calderon,PG,Strained right calf
10/29/14,Los AngelesLakers,Julius Randle,PF,Broken right leg
10/29/14,MinnesotaTimberwolves,Kevin Martin,G/F,Sore ankle
10/29/14,Philadelphia76ers,Ronny Turiaf,F/C,Sore hip
10/29/14,MiamiHeat,Udonis Haslem,PF,Sore quadriceps
10/28/14,New YorkKnicks,Andrea Bargnani,F/C,Sore hamstring
10/28/14,MemphisGrizzlies,Courtney Lee,G/F,Sprained ankle
10/28/14,Golden StateWarriors,David Lee,F/C,Sore hamstring
10/28/14,UtahJazz,Grant Jerrett,PF,Sore ankle
10/28/14,Philadelphia76ers,Jason Richardson,G/F,Foot surgery
10/28/14,Oklahoma CityThunder,Jeremy Lamb,G/F,Lower back sprain
10/28/14,MilwaukeeBucks,Johnny O'Bryant,PF,Sprained MCL
10/28/14,Los AngelesClippers,Jordan Farmar,PG,Sore back
10/28/14,MiamiHeat,Josh McRoberts,F/C,Sore toe
10/28/14,Philadelphia76ers,Luc Richard Mbah a Moute,F,Sore back
10/28/14,BrooklynNets,Markel Brown,SG,Flu
10/28/14,HoustonRockets,Nick Johnson,SG,Lower back strain
10/28/14,DetroitPistons,Reggie Jackson,G,Right ankle sprain
10/28/14,Los AngelesLakers,Ryan Kelly,F,Sore hamstring
10/28/14,PortlandTrail Blazers,Steve Blake,G,Flu
10/27/14,IndianaPacers,C.J. Watson,PG,Bruised right foot
10/27/14,IndianaPacers,David West,PF,Sprained right ankle
10/27/14,IndianaPacers,George Hill,G,Left knee contusion
10/27/14,San AntonioSpurs,Kawhi Leonard,G/F,Eye infection
10/27/14,San AntonioSpurs,Patty Mills,PG,Sore right shoulder
10/27/14,Los AngelesLakers,Wayne Ellington,SG,Concussion
10/26/14,ClevelandCavaliers,Brendan Haywood,C,Sore foot
10/24/14,Oklahoma CityThunder,Anthony Morrow,G/F,Left MCL Strain
10/24/14,OrlandoMagic,Victor Oladipo,G,Facial fracture
10/23/14,Los AngelesLakers,Steve Nash,PG,Back nerve irritation
10/23/14,PhoenixSuns,T.J. Warren,SF,Fractured thumb
10/18/14,Los AngelesLakers,Xavier Henry,G/F,Bruised knee
10/17/14,Los AngelesClippers,Glen Davis,F/C,Sore groin
10/16/14,BrooklynNets,Brook Lopez,C,Sprained right foot
10/14/14,DetroitPistons,Jodie Meeks,SG,Stress reaction
10/12/14,DetroitPistons,Kentavious Caldwell-Pope,SG,Sore knee
10/12/14,Oklahoma CityThunder,Kevin Durant,F,Right foot fracture
10/11/14,WashingtonWizards,Bradley Beal,SG,Wrist surgery
10/9/14,,Aaron Gray,C,Cardiac episode
10/9/14,PhoenixSuns,Alex Len,C,Fractured finger
10/9/14,OrlandoMagic,Channing Frye,F/C,Sprained MCL
10/9/14,MilwaukeeBucks,Damien Inglis,SF,Right ankle surgery
10/9/14,CharlotteHornets,Gerald Henderson,G/F,Sore hamstring
10/9/14,IndianaPacers,Ian Mahinmi,C,Sore elbow
10/9/14,Philadelphia76ers,JaVale McGee,C,Fractured left leg
10/9/14,AtlantaHawks,Kent Bazemore,G/F,Torn tendon
10/9/14,WashingtonWizards,Martell Webster,G/F,Sore back
10/9/14,Oklahoma CityThunder,Mitch McGary,F/C,Foot fracture
10/9/14,CharlotteHornets,Noah Vonleh,PF,Sports hernia
10/9/14,Los AngelesLakers,Steve Nash,PG,Nerve irritation
10/9/14,San AntonioSpurs,Tiago Splitter,C,Strained right calf
10/9/14,OrlandoMagic,Victor Oladipo,G,Sprained ankle
10/6/14,Los AngelesLakers,Nick Young,G/F,Thumb surgery
10/6/14,BostonCeltics,Vitor Faverani,C,Left knee surgery
11/30/14,SacramentoKings,DeMarcus Cousins,F/C,Viral meningitis
11/30/14,DenverNuggets,Will Barton,G/F,Gastritis
11/29/14,ClevelandCavaliers,Anderson Varejao,F/C,Bruised ribs
11/29/14,TorontoRaptors,DeMar DeRozan,G/F,Torn left abductor
11/29/14,MinnesotaTimberwolves,Gary Neal,G,Sore shoulder
11/29/14,Philadelphia76ers,Isaiah Canaan,PG,Left ankle sprain
11/29/14,DenverNuggets,Jameer Nelson,PG,Back spasms
11/29/14,UtahJazz,Jeremy Evans,F,Sprained left ankle
11/29/14,MilwaukeeBucks,John Henson,F/C,Left foot sprain
11/29/14,CharlotteHornets,Marvin Williams,F,Left shoulder strain
11/29/14,IndianaPacers,Roy Hibbert,C,Sprained ankle
11/29/14,Philadelphia76ers,Tony Wroten,G,Sore knee
11/26/14,BostonCeltics,Isaiah Thomas,PG,Sore ankle
11/26/14,ChicagoBulls,Joakim Noah,F/C,Eye abrasion
11/26/14,DallasMavericks,Raymond Felton,G,Sore ankle
11/25/14,DetroitPistons,Brandon Jennings,PG,Hyperextended left thumb
11/25/14,MiamiHeat,Chris Andersen,F/C,Sprained right ankle
11/25/14,ChicagoBulls,Derrick Rose,PG,Left hamstring
11/25/14,OrlandoMagic,Evan Fournier,SG,Right quad contusion
11/25/14,Philadelphia76ers,JaVale McGee,C,Leg strain
11/25/14,WashingtonWizards,Nene Hilario,F/C,Sore foot
11/25/14,DenverNuggets,Randy Foye,G,Right quad strain
11/25/14,SacramentoKings,Rudy Gay,F,Achilles tendinitis
11/25/14,Los AngelesLakers,Xavier Henry,G/F,Torn achilles
11/24/14,New OrleansPelicans,Eric Gordon,SG,Torn left labrum
11/24/14,CharlotteHornets,Matt Barnes,SF,Sore left calf
11/23/14,HoustonRockets,Patrick Beverley,G,Strained hamstring
11/22/14,San AntonioSpurs,Cory Joseph,PG,Sore ankle
11/22/14,HoustonRockets,Dwight Howard,F/C,Strained right knee
11/22/14,TorontoRaptors,James Johnson,F,Sore ankle
11/22/14,New OrleansPelicans,Norris Cole,G,Sore hand
11/22/14,ChicagoBulls,Taj Gibson,F/C,Sprained ankle
11/22/14,OrlandoMagic,Tobias Harris,F,Right calf strain
11/22/14,TorontoRaptors,Tyler Hansbrough,F/C,Sore shoulder
11/21/14,MinnesotaTimberwolves,Kevin Martin,G/F,Fractured right wrist
11/21/14,ChicagoBulls,Kirk Hinrich,G,Chest contusion
11/19/14,IndianaPacers,C.J. Miles,G/F,Sore calf
11/19/14,DallasMavericks,Devin Harris,G,Sore ankle
11/19/14,San AntonioSpurs,Matt Bonner,F/C,Stomach virus
11/19/14,CharlotteHornets,P.J. Hairston,G/F,Sore ankle
11/18/14,PortlandTrail Blazers,C.J. McCollum,G,Fractured right index finger
11/18/14,New YorkKnicks,Cleanthony Early,SF,Right knee surgery
11/18/14,MinnesotaTimberwolves,Nikola Pekovic,C,Sprained right wrist
11/17/14,MinnesotaTimberwolves,Gary Neal,G,Concussion
11/17/14,DenverNuggets,J.J. Hickson,F/C,Sore knee
11/17/14,New OrleansPelicans,Omer Asik,F/C,Lower back pain
11/17/14,ChicagoBulls,Pau Gasol,F/C,Strained calf
11/17/14,Los AngelesLakers,Ryan Kelly,F,Torn hamstring
11/16/14,OrlandoMagic,Aaron Gordon,PF,Fractured foot
11/16/14,PortlandTrail Blazers,LaMarcus Aldridge,F/C,Upper respiratory illness
11/15/14,Philadelphia76ers,Ronny Turiaf,F/C,Right hip surgery
11/14/14,BostonCeltics,Chris Douglas-Roberts,G/F,Sore achilles
11/14/14,MiamiHeat,Dwyane Wade,G,Strained left hamstring
11/14/14,MiamiHeat,Josh McRoberts,F/C,Sore toe
11/14/14,CharlotteHornets,Michael Kidd-Gilchrist,SF,"Stress reaction, right foot"
11/14/14,DenverNuggets,Randy Foye,G,Right knee contusion
11/13/14,ChicagoBulls,Derrick Rose,PG,Strained left hamstring
11/13/14,BrooklynNets,Thaddeus Young,F,Personal reasons
11/12/14,SacramentoKings,Darren Collison,PG,Sore shoulder
11/12/14,AtlantaHawks,DeMarre Carroll,F,Strained groin
11/12/14,PhoenixSuns,Marcus Thornton,SG,Sore ankle
11/12/14,AtlantaHawks,Mike Scott,PF,Sore back
11/11/14,TorontoRaptors,Landry Fields,G/F,Flu
11/11/14,PortlandTrail Blazers,Nicolas Batum,G/F,Right knee contusion
11/10/14,MilwaukeeBucks,Khris Middleton,G/F,Sore right knee
11/9/14,OrlandoMagic,Devyn Marble,G/F,Strained rotator cuff
11/9/14,Oklahoma CityThunder,Dion Waiters,G/F,Bruised lower back
11/9/14,Golden StateWarriors,Klay Thompson,G/F,Sprained right hand
11/9/14,Oklahoma CityThunder,Perry Jones,F,Right knee contusion
11/9/14,UtahJazz,Rodney Hood,G/F,Sore foot
11/8/14,MinnesotaTimberwolves,Anthony Bennett,F,Sore knee
11/8/14,DallasMavericks,Rajon Rondo,PG,Hand surgery
11/8/14,MinnesotaTimberwolves,Ricky Rubio,PG,Sprained left ankle
11/7/14,IndianaPacers,C.J. Miles,G/F,Migraine
11/7/14,Golden StateWarriors,David Lee,F/C,Strained left hamstring
11/7/14,ChicagoBulls,Derrick Rose,PG,Sprained ankle
11/7/14,MinnesotaTimberwolves,Justin Hamilton,F/C,Pulled groin
11/7/14,Philadelphia76ers,Malcolm Thomas,F,Sore knee
11/7/14,BostonCeltics,Marcus Smart,PG,Sprained left ankle
11/7/14,HoustonRockets,Pablo Prigioni,G,Sprained ankle
11/6/14,BostonCeltics,Avery Bradley,G,elbow
11/6/14,San AntonioSpurs,Marco Belinelli,G/F,Strained groin
11/6/14,HoustonRockets,Patrick Beverley,G,Sore hamstring
11/6/14,Los AngelesLakers,Ryan Kelly,F,hamstring
11/6/14,San AntonioSpurs,Tiago Splitter,C,Right calf tightness
11/5/14,BostonCeltics,Luigi Datome,G/F,Right hamstring strain
11/5/14,ClevelandCavaliers,Matthew Dellavedova,G,MCL Sprain
11/5/14,Philadelphia76ers,Nerlens Noel,F/C,Sprained left ankle
11/4/14,Oklahoma CityThunder,Andre Roberson,G/F,Sprained foot
11/4/14,ChicagoBulls,Joakim Noah,F/C,Flu
11/4/14,PortlandTrail Blazers,Joel Freeland,F/C,Sore foot
11/4/14,New OrleansPelicans,Luke Babbitt,SF,Sprained finger
11/4/14,CharlotteHornets,Michael Kidd-Gilchrist,SF,Bruised ribs
11/4/14,DallasMavericks,Raymond Felton,G,Sore ankle
11/4/14,IndianaPacers,Rodney Stuckey,G,Sore foot
11/4/14,Los AngelesLakers,Tarik Black,F/C,Bruised thigh
11/4/14,HoustonRockets,Terrence Jones,F,Left leg nerve inflammation
11/2/14,TorontoRaptors,Amir Johnson,F/C,Sore left ankle
11/2/14,MiamiHeat,Chris Andersen,F/C,Sore ribs
11/2/14,Los AngelesClippers,Jamal Crawford,G/F,Sore ribs
11/1/14,MinnesotaTimberwolves,Adreian Payne,PF,Sore foot
11/1/14,MemphisGrizzlies,Courtney Lee,G/F,Concussion
11/1/14,BostonCeltics,Gerald Wallace,F,Sore knee
11/1/14,HoustonRockets,Patrick Beverley,G,Sore hamstring
11/1/14,ChicagoBulls,Taj Gibson,F/C,Sprained ankle
12/31/14,MilwaukeeBucks,Jerryd Bayless,G,Sore knee
12/31/14,ClevelandCavaliers,Kevin Love,F/C,Back injury
12/30/14,CharlotteHornets,Al Jefferson,F/C,Strained left groin
12/30/14,ClevelandCavaliers,LeBron James,F,Sore left knee
12/30/14,PortlandTrail Blazers,Meyers Leonard,F/C,Strained left shoulder
12/30/14,ClevelandCavaliers,Shawn Marion,G/F,Ankle soreness
12/28/14,SacramentoKings,Eric Moreland,PF,Torn left labrum
12/28/14,ClevelandCavaliers,Kyrie Irving,G,Left knee contusion
12/28/14,DallasMavericks,Tyson Chandler,C,Back spasms
12/27/14,UtahJazz,Alec Burks,G,Left shoulder soreness
12/26/14,SacramentoKings,DeMarcus Cousins,F/C,Stomach illness
12/26/14,DetroitPistons,Ersan Ilyasova,F,Concussion
12/26/14,Golden StateWarriors,Festus Ezeli,C,Sprained ankle
12/26/14,CharlotteHornets,Jannero Pargo,PG,Lower back soreness
12/26/14,MilwaukeeBucks,Larry Sanders,F/C,Personal reasons
12/26/14,AtlantaHawks,Pero Antic,C,Sprained right ankle
12/26/14,WashingtonWizards,Ramon Sessions,G,Lower back strain
12/26/14,IndianaPacers,Rodney Stuckey,G,Facial contusion
12/26/14,San AntonioSpurs,Tony Parker,PG,Sore hamstring
12/23/14,ClevelandCavaliers,Anderson Varejao,F/C,Torn left Achilles
12/23/14,IndianaPacers,Damjan Rudez,G/F,Upper respiratory infection
12/23/14,ChicagoBulls,Kirk Hinrich,G,Left hamstring strain
12/23/14,Los AngelesLakers,Kobe Bryant,G/F,Rest
12/23/14,PortlandTrail Blazers,Nicolas Batum,G/F,Sore wrist
12/22/14,PortlandTrail Blazers,LaMarcus Aldridge,F/C,Upper respiratory illness
12/21/14,DenverNuggets,Danilo Gallinari,SF,Torn right meniscus
12/21/14,MiamiHeat,Dwyane Wade,G,Right knee contusion
12/21/14,MemphisGrizzlies,Zach Randolph,F/C,Sore knee
12/19/14,DenverNuggets,Darrell Arthur,F/C,Lower leg strain
12/19/14,BrooklynNets,Deron Williams,PG,Strained right calf
12/19/14,San AntonioSpurs,Kawhi Leonard,G/F,"Torn ligament, right hand"
12/19/14,ClevelandCavaliers,Kendrick Perkins,C,Knee contusion
12/19/14,Los AngelesClippers,Lance Stephenson,G/F,Pelvic sprain
12/19/14,PortlandTrail Blazers,Nicolas Batum,G/F,Sore wrist
12/18/14,New YorkKnicks,Carmelo Anthony,F,Knee soreness
12/18/14,ChicagoBulls,Derrick Rose,PG,Illness
12/18/14,Oklahoma CityThunder,Kevin Durant,F,Sprained right ankle
12/18/14,ChicagoBulls,Taj Gibson,F/C,Right ankle
12/18/14,New OrleansPelicans,Tyreke Evans,G,Right knee contusion
12/17/14,AtlantaHawks,Jeff Teague,PG,Left hamstring strain
12/17/14,ClevelandCavaliers,Mike Miller,G/F,Neck stiffness
12/17/14,SacramentoKings,Reggie Evans,F/C,Left knee contusion
12/17/14,MemphisGrizzlies,Tony Allen,G/F,"Corneal abrasion, right eye"
12/16/14,Oklahoma CityThunder,Mitch McGary,F/C,"Inflammation, left tibia"
12/16/14,WashingtonWizards,Paul Pierce,F,Sore toe
12/16/14,PortlandTrail Blazers,Robin Lopez,C,Broken right hand
12/15/14,MiamiHeat,Dwyane Wade,G,Illness
12/15/14,MilwaukeeBucks,Jabari Parker,F,Torn left ACL - out for season
12/15/14,San AntonioSpurs,Manu Ginobili,G/F,Lower back contusion
12/15/14,PhoenixSuns,Marcus Thornton,SG,"Torn muscle, left calf"
12/15/14,San AntonioSpurs,Tiago Splitter,C,Right calf rehabilitation
12/14/14,MiamiHeat,Chris Bosh,F/C,Calf strain
12/14/14,MiamiHeat,Goran Dragic,G,Back strain
12/14/14,ClevelandCavaliers,J.R. Smith,G/F,Torn left plantar fascia
12/14/14,ChicagoBulls,Joakim Noah,F/C,Sore ankle
12/14/14,MiamiHeat,Josh McRoberts,F/C,"Torn ligament, right knee"
12/14/14,DenverNuggets,Kenneth Faried,F/C,Right ankle strain
12/14/14,San AntonioSpurs,Tony Parker,PG,Sore hamstring
12/13/14,New OrleansPelicans,Anthony Davis,F/C,Chest contusion
12/13/14,IndianaPacers,C.J. Miles,G/F,Bruised knee
12/13/14,DallasMavericks,Chandler Parsons,F,Lower back soreness
12/13/14,UtahJazz,Derrick Favors,F/C,Right ankle sprain
12/13/14,ClevelandCavaliers,Iman Shumpert,G/F,Dislocated left shoulder
12/13/14,HoustonRockets,K.J. McDaniels,SF,Sore ankle
12/13/14,AtlantaHawks,Pero Antic,C,Flu
12/13/14,CharlotteHornets,Spencer Hawes,F/C,Sore left knee
12/12/14,BostonCeltics,Marcus Smart,PG,Strained left Achilles
12/11/14,BostonCeltics,James Young,SG,Right shoulder subluxation
12/11/14,ClevelandCavaliers,Kyrie Irving,G,Left game- left knee injury
12/11/14,ClevelandCavaliers,LeBron James,F,Sore left knee
12/10/14,Golden StateWarriors,Andrew Bogut,C,Sore knee
12/10/14,DenverNuggets,Danilo Gallinari,SF,Right knee contusion
12/10/14,HoustonRockets,Francisco Garcia,G/F,Right calf soreness
12/10/14,DenverNuggets,Jameer Nelson,PG,Sore right shoulder
12/8/14,IndianaPacers,Ian Mahinmi,C,Torn left plantar fascia
12/8/14,BrooklynNets,Mirza Teletovic,F,Sore hip
12/8/14,WashingtonWizards,Nene Hilario,F/C,Sore right knee
12/8/14,SacramentoKings,Omri Casspi,SF,"Bone contusion, left knee"
12/7/14,BrooklynNets,Brook Lopez,C,Back strain
12/7/14,Philadelphia76ers,JaVale McGee,C,Leg strain
12/7/14,DenverNuggets,Kenneth Faried,F/C,Back strain
12/7/14,Los AngelesClippers,Nate Robinson,G,Back contusion
12/6/14,Los AngelesClippers,Jordan Farmar,PG,Back spasms
12/5/14,HoustonRockets,Kostas Papanikolaou,F,Knee sprain
12/5/14,MilwaukeeBucks,Larry Sanders,F/C,Flu
12/5/14,MiamiHeat,Luol Deng,F,Bruised right hand
12/5/14,ClevelandCavaliers,Mike Miller,G/F,Concussion
12/4/14,CharlotteHornets,Mo Williams,G,Back spasms
12/3/14,UtahJazz,Alec Burks,G,Left shoulder inflammation
12/3/14,New YorkKnicks,Alexey Shved,G,Left hip flexor strain
12/3/14,DetroitPistons,Ersan Ilyasova,F,Broken nose
12/3/14,New OrleansPelicans,Norris Cole,G,Cold
12/3/14,PhoenixSuns,Reggie Bullock,G/F,Right ankle sprain
12/2/14,ChicagoBulls,Doug McDermott,SF,Sore right knee
12/2/14,OrlandoMagic,Nikola Vucevic,F/C,Lower back sprain
12/1/14,Philadelphia76ers,Nerlens Noel,F/C,Right hip flexor
11/22/15,TorontoRaptors,Jonas Valanciunas,C,Fractured Left Hand
11/21/15,DenverNuggets,Kenneth Faried,F/C,Left ankle sprain
11/21/15,AtlantaHawks,Tiago Splitter,C,Right hip pain
11/20/15,CharlotteHornets,Cody Zeller,F/C,Sore ankle
11/20/15,BostonCeltics,Marcus Smart,PG,Bruised left knee
11/20/15,MemphisGrizzlies,Zach Randolph,F/C,Sore knee
11/19/15,ChicagoBulls,Aaron Brooks,PG,Strained left hamstring
11/19/15,ClevelandCavaliers,Mo Williams,G,Sore ankle
11/19/15,SacramentoKings,Rudy Gay,F,Left shoulder strain
11/19/15,ClevelandCavaliers,Timofey Mozgov,C,Right shoulder strain
11/18/15,New OrleansPelicans,Anthony Davis,F/C,Sore shoulder
11/18/15,DenverNuggets,Darrell Arthur,F/C,Illness
11/18/15,San AntonioSpurs,Manu Gin?bili,G/F,Sore hip
11/18/15,Philadelphia76ers,Phil Pressey,PG,Illness
11/18/15,Golden StateWarriors,Shaun Livingston,G,Hip strain
11/18/15,PhoenixSuns,T.J. Warren,SF,Illness
11/18/15,HoustonRockets,Terrence Jones,F,Sore wrist
11/16/15,ChicagoBulls,Derrick Rose,PG,Sprained left ankle
11/16/15,IndianaPacers,George Hill,G,Upper respiratory infection
11/16/15,MilwaukeeBucks,Jabari Parker,F,Sprained right foot
11/16/15,CharlotteHornets,Jeremy Lamb,G/F,Left shoulder strain
11/16/15,AtlantaHawks,Kent Bazemore,G/F,Sprained ankle
11/15/15,AtlantaHawks,Jeff Teague,PG,Sore ankle
11/14/15,MemphisGrizzlies,James Ennis,G/F,Sore shoulder
11/14/15,San AntonioSpurs,Kawhi Leonard,G/F,Upper respiratory infection
11/14/15,Golden StateWarriors,Klay Thompson,G/F,Sore back
11/14/15,San AntonioSpurs,Manu Gin?bili,G/F,Adductor strain
11/14/15,PhoenixSuns,Markieff Morris,F/C,Left knee sprain
11/14/15,CharlotteHornets,P.J. Hairston,G/F,Right quad contusion
11/14/15,PhoenixSuns,Ronnie Price,G,Concussion
11/13/15,HoustonRockets,Patrick Beverley,G,Twisted left ankle
11/13/15,Philadelphia76ers,Richaun Holmes,PF,Right hamstring strain
11/12/15,BostonCeltics,Avery Bradley,G,Sore leg
11/12/15,Los AngelesClippers,Chris Paul,PG,Strained groin
11/12/15,CharlotteHornets,Cody Zeller,F/C,Left ankle sprain
11/12/15,Los AngelesClippers,J.J. Redick,SG,Back spasms
11/12/15,DenverNuggets,Jameer Nelson,PG,Sore back
11/12/15,PortlandTrail Blazers,Meyers Leonard,F/C,Dislocated left shoulder
11/12/15,IndianaPacers,Myles Turner,C,Fractured left thumb
11/12/15,UtahJazz,Rudy Gobert,C,Left ankle sprain
11/12/15,CharlotteHornets,Spencer Hawes,F/C,Right ankle sprain
11/12/15,OrlandoMagic,Victor Oladipo,G,Concussion
11/11/15,New OrleansPelicans,Anthony Davis,F/C,Right hip strain
11/11/15,OrlandoMagic,C.J. Watson,PG,Sore left calf
