date,team,player,position,injury
2/12/14,Philadelphia76ers,Hollis Thompson,F,Ankle sprain
2/12/14,New YorkKnicks,J.R. Smith,G/F,Fractured cheek bone
2/12/14,MilwaukeeBucks,John Henson,F/C,Sore ankle
2/12/14,Los AngelesLakers,Steve Nash,PG,Nerve irritation
2/12/14,BostonCeltics,Vitor Faverani,C,Knee
2/11/14,ClevelandCavaliers,Anderson Varejao,F/C,Sore back
2/11/14,ClevelandCavaliers,C.J. Miles,G/F,Sore right foot
2/10/14,TorontoRaptors,Amir Johnson,F/C,Sore ankle
2/10/14,BostonCeltics,Avery Bradley,G,Ankle
2/10/14,MilwaukeeBucks,Ersan Ilyasova,F,Sore back
2/10/14,DenverNuggets,Ty Lawson,PG,Fractured rib
2/9/14,ChicagoBulls,Carlos Boozer,F/C,Sore calf
2/9/14,MinnesotaTimberwolves,Kevin Martin,G/F,Thumb
2/9/14,MilwaukeeBucks,Larry Sanders,F/C,Fractured orbital bone
2/9/14,Los AngelesLakers,Steve Nash,PG,Left leg injury
2/8/14,San AntonioSpurs,Tiago Splitter,C,Sore calf
2/7/14,DetroitPistons,Josh Harrellson,F/C,Torn left meniscus
2/6/14,Golden StateWarriors,Andrew Bogut,C,Left shoulder
2/6/14,San AntonioSpurs,Tony Parker,PG,Lower back
2/5/14,MemphisGrizzlies,Beno Udrih,PG,Flu
2/5/14,Los AngelesClippers,J.J. Redick,SG,Right hip
2/5/14,Los AngelesLakers,Jodie Meeks,SG,Sore ankle
2/5/14,Los AngelesLakers,Jordan Hill,F/C,Cervical stinger
2/5/14,New YorkKnicks,Kenyon Martin,F/C,Sore ankle
2/5/14,MinnesotaTimberwolves,Kevin Love,F/C,Stiff neck
2/5/14,Los AngelesLakers,Steve Nash,PG,Sore back
2/5/14,New OrleansPelicans,Tyreke Evans,G/F,Sore ribs
2/3/14,Oklahoma CityThunder,Caron Butler,SF,Sore ankle
2/1/14,BrooklynNets,Andray Blatche,F/C,Hip
2/1/14,BrooklynNets,Andrei Kirilenko,F,Sore right calf
2/1/14,DetroitPistons,Chauncey Billups,G,Sore knee
2/1/14,Philadelphia76ers,Michael Carter-Williams,PG,Right shoulder
2/1/14,Los AngelesLakers,Pau Gasol,F/C,Strained right groin
3/31/14,Los AngelesClippers,Jamal Crawford,G,Strained left calf
3/31/14,TorontoRaptors,Kyle Lowry,PG,Sore knee
3/30/14,ClevelandCavaliers,Anderson Varejao,F/C,Right shoulder strain
3/29/14,Los AngelesClippers,Blake Griffin,F/C,Back spasms
3/29/14,Philadelphia76ers,Byron Mullens,F/C,Left ankle sprain
3/29/14,AtlantaHawks,DeMarre Carroll,F,Illness
3/29/14,HoustonRockets,Dwight Howard,F/C,Left ankle
3/29/14,MiamiHeat,Greg Oden,C,Strained back
3/29/14,TorontoRaptors,Kyle Lowry,PG,Ankle
3/28/14,UtahJazz,Alec Burks,G,Sprained left ankle
3/28/14,New OrleansPelicans,Anthony Davis,F/C,Ankle
3/28/14,New OrleansPelicans,Brian Roberts,G,Bone bruise in left knee
3/28/14,Los AngelesClippers,Danny Granger,SF,Hamstring
3/28/14,Golden StateWarriors,David Lee,F/C,Hamstring
3/28/14,MiamiHeat,Dwyane Wade,G,Left hamstring
3/28/14,MiamiHeat,Mario Chalmers,PG,Right quadriceps
3/28/14,HoustonRockets,Patrick Beverley,G,Torn left meniscus
3/28/14,MiamiHeat,Ray Allen,SG,Flu
3/28/14,Oklahoma CityThunder,Reggie Jackson,G,Back
3/27/14,MilwaukeeBucks,O.J. Mayo,G,Sprained right ankle
3/26/14,BrooklynNets,Andrei Kirilenko,F,Sprained left ankle
3/26/14,CharlotteBobcats,Gary Neal,G,Sprained left ankle
3/26/14,SacramentoKings,Isaiah Thomas,PG,Bruised quadriceps
3/24/14,MiamiHeat,Dwyane Wade,G,Sore ankle
3/24/14,San AntonioSpurs,Matt Bonner,PF,Right calf strain
3/24/14,Los AngelesLakers,Pau Gasol,F/C,Vertigo
3/24/14,San AntonioSpurs,Tony Parker,PG,Sore left achilles
3/23/14,ClevelandCavaliers,C.J. Miles,G/F,Sprained left ankle
3/23/14,AtlantaHawks,Kyle Korver,G/F,Back spasms
3/23/14,MilwaukeeBucks,Nate Wolters,PG,Fractured left hand
3/23/14,SacramentoKings,Quincy Acy,PF,Sore ankle
3/23/14,ClevelandCavaliers,Sergey Karasev,SG,Sore knee
3/23/14,DenverNuggets,Wilson Chandler,G/F,Left hip strain
3/22/14,IndianaPacers,Andrew Bynum,C,Right knee
3/22/14,IndianaPacers,C.J. Watson,PG,Sore hamstring
3/22/14,New OrleansPelicans,Eric Gordon,SG,Left knee tendinitis
3/22/14,DenverNuggets,J.J. Hickson,F/C,Torn ACL
3/22/14,ClevelandCavaliers,Luol Deng,F,Sore ankle
3/22/14,Philadelphia76ers,Tony Wroten,PG,Right ankle sprain
3/19/14,MinnesotaTimberwolves,A.J. Price,PG,Appendectomy
3/19/14,OrlandoMagic,Jameer Nelson,PG,Sore left knee
3/19/14,TorontoRaptors,Jonas Valanciunas,C,Sore back
3/19/14,MiamiHeat,LeBron James,F,Sore back
3/19/14,MinnesotaTimberwolves,Nikola Pekovic,C,Sore right ankle
3/17/14,DetroitPistons,Andre Drummond,F/C,Neck
3/17/14,Los AngelesClippers,Darren Collison,PG,Stomach virus
3/17/14,HoustonRockets,Dwight Howard,F/C,Mild left ankle strain
3/17/14,Philadelphia76ers,James Anderson,G/F,Bruised thigh
3/16/14,ClevelandCavaliers,Kyrie Irving,G,Left biceps
3/13/14,PortlandTrail Blazers,LaMarcus Aldridge,F/C,Back
3/12/14,BrooklynNets,Andrei Kirilenko,F,Sprained right ankle
3/12/14,Los AngelesClippers,Jamal Crawford,G,Strained left calf
3/12/14,UtahJazz,John Lucas III,PG,Sore ankle
3/12/14,BostonCeltics,Rajon Rondo,PG,Sore knee
3/10/14,ClevelandCavaliers,Anthony Bennett,F,Patellar tendon strain
3/10/14,DallasMavericks,Jae Crowder,F,Abdominal strain
3/9/14,Los AngelesLakers,Nick Young,G/F,Sore left knee
3/9/14,TorontoRaptors,Patrick Patterson,F/C,Sore elbow
3/6/14,IndianaPacers,C.J. Watson,PG,Sprained right elbow
3/6/14,Los AngelesClippers,Jared Dudley,G/F,Back spasms
3/6/14,San AntonioSpurs,Jeff Ayres,F/C,Sprained finger
3/6/14,Los AngelesLakers,Jordan Hill,F/C,Sore right knee
3/5/14,OrlandoMagic,Victor Oladipo,G,Sore left ankle
3/5/14,MemphisGrizzlies,Zach Randolph,F/C,Flu
3/4/14,PhoenixSuns,Miles Plumlee,F/C,Right knee sprain
3/3/14,CharlotteBobcats,Gerald Henderson,G/F,Right calf strain
3/3/14,WashingtonWizards,Martell Webster,G/F,Sore back
3/2/14,OrlandoMagic,Jameer Nelson,PG,Sore calf
3/1/14,BrooklynNets,Kevin Garnett,F/C,Back spasms
4/28/14,CharlotteBobcats,Al Jefferson,F/C,Sore foot
4/15/14,BrooklynNets,Alan Anderson,G/F,Abdominal strain
4/15/14,Golden StateWarriors,Andre Iguodala,G/F,Sore knee
4/15/14,New YorkKnicks,Carmelo Anthony,F,Sore shoulder
4/15/14,MilwaukeeBucks,Ekpe Udoh,F/C,Sore knee
4/14/14,Golden StateWarriors,Andrew Bogut,C,Fractured rib
4/14/14,OrlandoMagic,Jameer Nelson,PG,Pulled groin
4/14/14,San AntonioSpurs,Kawhi Leonard,G/F,Sore hand
4/14/14,Oklahoma CityThunder,Reggie Jackson,G,Stiff neck
4/14/14,MinnesotaTimberwolves,Ronny Turiaf,F/C,Sore knee
4/13/14,SacramentoKings,Rudy Gay,F,Stiff back
4/12/14,MilwaukeeBucks,Brandon Knight,G,Sore right hip
4/12/14,New OrleansPelicans,Brian Roberts,G,Sore left ankle
4/12/14,HoustonRockets,Chandler Parsons,F,Sore wrist
4/12/14,BostonCeltics,Jared Sullinger,F/C,Sore ankle
4/12/14,Philadelphia76ers,Jarvis Varnado,F,Sore right heel
4/12/14,BostonCeltics,Jerryd Bayless,G,Hyperextened right knee
4/12/14,CharlotteBobcats,Kemba Walker,PG,Pulled groin
4/12/14,BostonCeltics,Kris Humphries,F/C,Sore knee
4/12/14,ClevelandCavaliers,Luol Deng,F,Sore back
4/12/14,BostonCeltics,Rajon Rondo,PG,Shin splints
4/12/14,New OrleansPelicans,Tyreke Evans,G/F,Sore knee
4/11/14,Los AngelesLakers,Steve Nash,PG,Pulled hamstring
4/9/14,BrooklynNets,Andray Blatche,F/C,Flu
4/9/14,New OrleansPelicans,Anthony Davis,F/C,Back spasms
4/9/14,Los AngelesLakers,Kent Bazemore,G/F,Torn tendon
4/9/14,BrooklynNets,Paul Pierce,F,Sore hip
4/9/14,BrooklynNets,Shaun Livingston,G,Sore toe
4/8/14,DetroitPistons,Josh Smith,F,Left patella tendinitis
4/8/14,San AntonioSpurs,Manu Ginobili,G/F,Left calf contusion
4/8/14,UtahJazz,Marvin Williams,F,Left knee
4/8/14,SacramentoKings,Reggie Evans,F/C,Sore lower back
4/8/14,SacramentoKings,Rudy Gay,F,Lower back strain
4/8/14,DenverNuggets,Ty Lawson,PG,Sprained ankle
4/8/14,MiamiHeat,Udonis Haslem,PF,Stomach virus
4/7/14,MinnesotaTimberwolves,Chase Budinger,G/F,Sprained right ankle
4/7/14,Los AngelesLakers,Chris Kaman,F/C,Strained calf
4/6/14,MiamiHeat,Chris Andersen,F/C,Bruised right knee
4/6/14,MemphisGrizzlies,Tayshaun Prince,F,Sore ankle
4/6/14,San AntonioSpurs,Tony Parker,PG,Back spasms
4/5/14,TorontoRaptors,Amir Johnson,F/C,Sore ankle
4/5/14,BostonCeltics,Avery Bradley,G,Strained right achilles
4/5/14,CharlotteBobcats,Josh McRoberts,F/C,Left ankle sprain
4/5/14,MinnesotaTimberwolves,Kevin Love,F/C,Back spasms
4/5/14,MinnesotaTimberwolves,Kevin Martin,G/F,Sore foot
4/5/14,BostonCeltics,Kris Humphries,F/C,Strained right patella
4/5/14,MinnesotaTimberwolves,Nikola Pekovic,C,Sore ankle
4/5/14,OrlandoMagic,Nikola Vucevic,F/C,Sore left achilles
4/5/14,MinnesotaTimberwolves,Shabazz Muhammad,SF,Sore knee
4/5/14,DetroitPistons,Will Bynum,PG,Sore foot
4/3/14,Los AngelesLakers,Xavier Henry,G/F,Torn wrist ligament
4/2/14,MilwaukeeBucks,Ersan Ilyasova,F,Sore right ankle
4/2/14,Los AngelesLakers,Pau Gasol,F/C,Vertigo
5/28/14,MiamiHeat,Ray Allen,SG,Sore hip
5/26/14,MiamiHeat,Chris Andersen,F/C,Bruised thigh
5/16/14,Oklahoma CityThunder,Serge Ibaka,F/C,Calf strai
5/14/14,PortlandTrail Blazers,Mo Williams,G,Groin
5/14/14,San AntonioSpurs,Tony Parker,PG,Left hamstring
6/28/14,Philadelphia76ers,Joel Embiid,C,Foot surgery
8/4/13,DallasMavericks,Shane Larkin,PG,Ankle surgery
8/2/13,DallasMavericks,Devin Harris,G,Sore toe
10/31/13,UtahJazz,Jeremy Evans,F,Rotator cuff
